Symbol,Company Name,Market Cap,Stock Price
LVS,Las Vegas Sands Corp.,36.07B,53.68
XYZ,"Block, Inc.",35.82B,59.79
MLM,"Martin Marietta Materials, Inc.",35.21B,583.75
VMC,Vulcan Materials Company,34.66B,265.42
ADM,Archer-Daniels-Midland Company,34.64B,71.98
WDAY,"Workday, Inc.",34.20B,133.09
STT,State Street Corporation,33.82B,121.34
RMD,ResMed Inc.,33.63B,230.84
KVUE,Kenvue Inc.,33.52B,17.49
MCHP,Microchip Technology Incorporated,33.52B,61.94
ACGL,Arch Capital Group Ltd.,33.26B,93.47
PAYX,"Paychex, Inc.",33.24B,92.61
CPRT,"Copart, Inc.",32.84B,34.09
KMB,Kimberly-Clark Corporation,32.81B,98.84
OTIS,Otis Worldwide Corporation,32.34B,83.19
GEHC,GE HealthCare Technologies Inc.,32.25B,70.77
IR,Ingersoll Rand Inc.,32.16B,82.13
PRU,"Prudential Financial, Inc.",32.02B,92.00
EL,The Estée Lauder Companies Inc.,31.79B,87.88
EME,"EMCOR Group, Inc.",31.61B,709.91
IRM,Iron Mountain Incorporated,31.61B,106.84
A,"Agilent Technologies, Inc.",31.51B,111.51
ATO,Atmos Energy Corporation,31.20B,188.58
DTE,DTE Energy Company,31.08B,149.57
AEE,Ameren Corporation,30.97B,112.04
HBAN,Huntington Bancshares Incorporated,30.87B,15.21
VICI,VICI Properties Inc.,30.37B,28.42
FISV,"Fiserv, Inc.",30.34B,56.74
CBOE,"Cboe Global Markets, Inc.",30.34B,289.90
EXR,Extra Space Storage Inc.,29.85B,141.37
CCL,Carnival Corporation & plc,29.67B,23.99
TDY,Teledyne Technologies Incorporated,29.58B,638.91
FE,FirstEnergy Corp.,29.57B,51.16
IBKR,"Interactive Brokers Group, Inc.",29.48B,66.19
MTB,M&T Bank Corporation,29.24B,196.26
XYL,Xylem Inc.,29.15B,119.88
DG,Dollar General Corporation,29.02B,131.84
PPL,PPL Corporation,28.93B,38.51
CTSH,Cognizant Technology Solutions Corporation,28.87B,60.37
TPR,"Tapestry, Inc.",28.77B,142.10
RJF,"Raymond James Financial, Inc.",28.77B,145.97
CNP,"CenterPoint Energy, Inc.",28.73B,44.01
DVN,Devon Energy Corporation,28.68B,46.25
HPE,Hewlett Packard Enterprise Company,28.63B,21.58
HAL,Halliburton Company,28.22B,33.69
WAT,Waters Corporation,28.11B,286.57
UAL,"United Airlines Holdings, Inc.",28.01B,86.60
